# ASCII 1D datafile generated by TiberCAD
# 1 x
# 2 GenerationRate
# 3 Intensity
# 4 External_Source_ElectricField
# 5 Transmission
# 6 Reflection
# 7 AVT
# x GenerationRate Intensity External_Source_ElectricField Transmission Reflection AVT 
272.102 0 711.955 -3819.98 0 0 0 
275.637 0 711.898 -3632.9 0 0 0 
279.208 0 711.835 -3445.19 0 0 0 
282.814 0 711.766 -3257.36 0 0 0 
286.457 0 711.692 -3069.86 0 0 0 
290.136 0 711.614 -2883.11 0 0 0 
293.852 0 711.531 -2697.51 0 0 0 
297.606 0 711.444 -2513.39 0 0 0 
301.397 0 711.355 -2331.06 0 0 0 
305.226 0 711.262 -2150.78 0 0 0 
309.093 0 711.168 -1972.77 0 0 0 
313 0 711.071 -1797.18 0 0 0 
316.946 0 710.973 -1624.14 0 0 0 
320.931 0 710.873 -1453.72 0 0 0 
324.956 0 710.772 -1285.97 0 0 0 
329.022 0 710.67 -1120.88 0 0 0 
333.128 0 710.566 -958.406 0 0 0 
337.276 0 710.46 -798.483 0 0 0 
341.465 0 710.353 -641.014 0 0 0 
345.697 0 710.244 -485.887 0 0 0 
349.971 0 710.133 -332.974 0 0 0 
354.288 0 710.02 -182.145 0 0 0 
358.648 0 709.905 -33.27 0 0 0 
363.052 0 709.79 113.768 0 0 0 
367.5 0 709.675 259.069 0 0 0 
371.993 0 709.56 402.705 0 0 0 
376.531 0 709.448 544.713 0 0 0 
381.114 0 709.34 685.088 0 0 0 
385.744 0 709.238 823.776 0 0 0 
390.42 0 709.144 960.665 0 0 0 
395.143 0 709.06 1095.58 0 0 0 
399.913 0 708.99 1228.3 0 0 0 
404.731 0 708.934 1358.51 0 0 0 
409.598 0 708.895 1485.85 0 0 0 
414.513 0 708.874 1609.88 0 0 0 
419.478 0 708.873 1730.1 0 0 0 
424.493 0 708.891 1845.97 0 0 0 
429.558 0 708.929 1956.86 0 0 0 
434.673 0 708.986 2062.15 0 0 0 
439.841 0 709.059 2161.14 0 0 0 
445.06 0 709.147 2253.14 0 0 0 
450.331 0 709.247 2337.47 0 0 0 
455.656 0 709.356 2413.42 0 0 0 
461.033 0 709.469 2480.34 0 0 0 
466.465 0 709.585 2537.62 0 0 0 
471.952 0 709.7 2584.72 0 0 0 
477.493 0 709.811 2621.16 0 0 0 
483.09 0 709.916 2646.57 0 0 0 
488.744 0 710.013 2660.68 0 0 0 
494.454 0 710.103 2663.36 0 0 0 
500.221 0 710.186 2654.58 0 0 0 
506.046 0 710.261 2634.46 0 0 0 
511.93 0 710.331 2603.26 0 0 0 
517.873 0 710.398 2561.38 0 0 0 
523.875 0 710.461 2509.32 0 0 0 
529.938 0 710.524 2447.72 0 0 0 
536.062 0 710.586 2377.32 0 0 0 
542.247 0 710.648 2298.93 0 0 0 
548.494 0 710.71 2213.42 0 0 0 
554.804 0 710.769 2121.71 0 0 0 
561.177 0 710.824 2024.7 0 0 0 
567.614 0 710.872 1923.28 0 0 0 
574.116 0 710.911 1818.26 0 0 0 
580.684 0 710.937 1710.4 0 0 0 
587.317 0 710.948 1600.32 0 0 0 
594.016 0 710.942 1488.53 0 0 0 
600.783 0 710.92 1375.38 0 0 0 
607.618 0 710.881 1261.07 0 0 0 
614.522 0 710.826 1145.66 0 0 0 
621.494 0 710.757 1029.02 0 0 0 
628.537 0 710.678 910.933 0 0 0 
635.651 0 710.592 791.054 0 0 0 
642.836 0 710.5 668.973 0 0 0 
650.093 0 710.406 544.252 0 0 0 
657.423 0 710.312 416.475 0 0 0 
664.826 0 710.219 285.3 0 0 0 
672.304 0 710.128 150.516 0 0 0 
679.857 0 710.04 12.0934 0 0 0 
687.486 0 709.955 -129.763 0 0 0 
