# ASCII 1D datafile generated by TiberCAD
# 1 x
# 2 GenerationRate
# 3 Intensity
# 4 External_Source_ElectricField
# 5 Transmission
# 6 Reflection
# 7 Absorption
# x GenerationRate Intensity External_Source_ElectricField Transmission Reflection Absorption 
3004.95 0 868.18 224.842 0 0 0 
3064.38 0 868.225 475.764 0 0 0 
3125.01 0 865.531 541.317 0 0 0 
3186.86 0 865.26 386.29 0 0 0 
3249.96 0 868.388 119.64 0 0 0 
3314.33 0 869.21 -128.892 0 0 0 
3380 0 865.622 -326.766 0 0 0 
3447 0 864.101 -443.837 0 0 0 
3515.35 0 867.899 -379.244 0 0 0 
3585.08 0 869.943 -123.322 0 0 0 
3656.22 0 866.132 172.687 0 0 0 
3728.79 0 864.04 365.233 0 0 0 
3802.82 0 867.731 388.419 0 0 0 
3878.35 0 869.305 222.486 0 0 0 
3955.41 0 865.94 -52.1252 0 0 0 
4034.02 0 865.282 -283.3 0 0 0 
4114.21 0 867.991 -357.19 0 0 0 
4196.03 0 867.622 -226.109 0 0 0 
4279.49 0 866.126 38.0318 0 0 0 
4364.64 0 866.952 258.094 0 0 0 
4451.51 0 866.98 310.446 0 0 0 
4540.13 0 866.866 162.612 0 0 0 
4630.54 0 867.451 -97.9621 0 0 0 
4722.77 0 866.236 -275.935 0 0 0 
4816.87 0 866.792 -241.019 0 0 0 
4912.86 0 867.931 -13.4478 0 0 0 
5010.79 0 866.021 202.441 0 0 0 
5110.7 0 866.841 226.81 0 0 0 
5212.62 0 867.73 74.7048 0 0 0 
5316.6 0 866.185 -140.284 0 0 0 
5422.68 0 867.084 -207.187 0 0 0 
5530.9 0 867.193 -55.3218 0 0 0 
5641.3 0 866.665 96.566 0 0 0 
5753.93 0 866.897 143.784 0 0 0 
5868.83 0 867.137 60.7287 0 0 0 
5986.06 0 866.724 -71.1365 0 0 0 
6105.64 0 866.895 -119.21 0 0 0 
6227.65 0 867.16 -56.9252 0 0 0 
6352.11 0 866.554 74.1819 0 0 0 
6479.08 0 867.233 124.603 0 0 0 
6608.62 0 866.67 30.959 0 0 0 
6740.77 0 867.011 -134.176 0 0 0 
6875.59 0 866.897 -107.295 0 0 0 
7013.13 0 866.825 85.5526 0 0 0 
7153.44 0 867.058 158.944 0 0 0 
7296.59 0 866.712 -39.1232 0 0 0 
7442.62 0 867.132 -175.965 0 0 0 
7591.6 0 866.714 16.1989 0 0 0 
7743.59 0 867.081 157.634 0 0 0 
7898.64 0 866.877 3.60847 0 0 0 
8056.83 0 866.792 -148.163 0 0 0 
8218.2 0 867.195 13.6306 0 0 0 
8382.84 0 866.596 115.183 0 0 0 
8550.79 0 867.115 -36.379 0 0 0 
8722.13 0 866.943 -51.5591 0 0 0 
8896.94 0 866.653 8.57746 0 0 0 
9075.26 0 867.182 23.8062 0 0 0 
9257.19 0 866.855 36.8972 0 0 0 
9442.79 0 866.89 -63.3342 0 0 0 
9632.14 0 866.655 -7.27461 0 0 0 
9825.3 0 867.347 84.5325 0 0 0 
10022.4 0 867.099 -69.7185 0 0 0 
10223.4 0 866.298 -18.1216 0 0 0 
10428.5 0 867.176 54.9589 0 0 0 
10637.7 0 867.064 -58.92 0 0 0 
10851.2 0 866.835 2.89156 0 0 0 
11069 0 867.282 42.7829 0 0 0 
11291.1 0 866.555 -19.3602 0 0 0 
11517.8 0 866.242 -2.01316 0 0 0 
11749 0 867.215 37.2593 0 0 0 
11984.9 0 867.404 -32.8003 0 0 0 
12225.5 0 866.934 5.93504 0 0 0 
12471 0 867.277 29.435 0 0 0 
12721.5 0 867.808 -20.8768 0 0 0 
12977 0 867.304 15.1852 0 0 0 
13237.6 0 866.302 -15.6843 0 0 0 
13503.6 0 866.036 -8.48142 0 0 0 
13774.9 0 866.702 -11.868 0 0 0 
14051.6 0 867.569 -34.7015 0 0 0 
14334 0 867.926 2.0122 0 0 0 
14622 0 867.648 -23.6899 0 0 0 
14915.9 0 867.026 5.07116 0 0 0 
15215.7 0 866.373 -1.3588 0 0 0 
15521.5 0 865.893 -15.4426 0 0 0 
15833.5 0 865.735 3.91034 0 0 0 
16151.8 0 865.958 -22.1986 0 0 0 
16476.6 0 866.235 21.2283 0 0 0 
