# tmm TMMM (tmm_study)
# WaveLength[nm]  Transmission[1]  Reflection[1]  Absorption[1] 
786 0.00259717 0.979878 0.0175249
787 0.00259134 0.979916 0.0174926
788 0.00258559 0.979954 0.0174608
789 0.00257984 0.979991 0.017429
790 0.00257406 0.980029 0.0173969
791 0.00256821 0.980067 0.0173643
792 0.00256229 0.980106 0.0173312
793 0.0025563 0.980146 0.0172976
794 0.00255029 0.980186 0.0172638
795 0.00254424 0.980226 0.0172297
796 0.00253818 0.980266 0.0171955
797 0.00253213 0.980307 0.0171612
798 0.00252609 0.980347 0.017127
799 0.00252007 0.980387 0.0170929
800 0.00251409 0.980427 0.017059
801 0.00250816 0.980466 0.0170254
802 0.00250228 0.980506 0.0169921
803 0.00249644 0.980544 0.0169591
804 0.00249063 0.980583 0.0169261
805 0.00248487 0.980622 0.0168935
806 0.00247914 0.98066 0.0168611
807 0.00247343 0.980698 0.0168287
808 0.00246776 0.980736 0.0167966
809 0.00246211 0.980773 0.0167645
810 0.00245647 0.980811 0.0167325
811 0.00245085 0.980849 0.0167006
812 0.00244525 0.980886 0.0166687
813 0.00243966 0.980923 0.0166369
814 0.00243409 0.980961 0.0166052
815 0.00242854 0.980998 0.0165736
816 0.00242301 0.981035 0.0165421
817 0.00241748 0.981072 0.0165105
818 0.002412 0.981109 0.0164792
819 0.00240652 0.981146 0.0164479
820 0.00240107 0.981182 0.0164168
821 0.00239583 0.981218 0.0163863
822 0.0023906 0.981253 0.0163559
823 0.0023854 0.981289 0.0163256
824 0.00238021 0.981324 0.0162954
825 0.00237504 0.98136 0.0162653
826 0.00236989 0.981395 0.0162353
827 0.00236477 0.98143 0.0162054
828 0.00235966 0.981465 0.0161756
829 0.00235457 0.9815 0.0161459
830 0.0023495 0.981534 0.0161163
831 0.00234427 0.981569 0.0160863
832 0.00233907 0.981605 0.0160564
833 0.00233388 0.98164 0.0160266
834 0.00232872 0.981674 0.0159969
835 0.00232358 0.981709 0.0159673
836 0.00231845 0.981744 0.0159377
837 0.00231334 0.981778 0.0159083
838 0.00230826 0.981813 0.015879
839 0.00230319 0.981847 0.0158498
840 0.00229814 0.981881 0.0158207
841 0.00229328 0.981915 0.0157921
842 0.00228845 0.981948 0.0157637
843 0.00228362 0.981981 0.0157353
844 0.00227882 0.982014 0.0157071
845 0.00227403 0.982047 0.0156789
846 0.00226925 0.98208 0.0156508
847 0.0022645 0.982113 0.0156228
848 0.00225975 0.982145 0.0155948
849 0.00225501 0.982178 0.0155669
850 0.00225029 0.982211 0.015539
851 0.00224543 0.982244 0.0155108
852 0.00224056 0.982277 0.0154825
853 0.00223572 0.98231 0.0154544
854 0.00223091 0.982343 0.0154264
855 0.00222611 0.982375 0.0153986
856 0.00222134 0.982408 0.0153708
857 0.00221661 0.98244 0.0153433
858 0.0022119 0.982472 0.0153159
859 0.00220722 0.982504 0.0152887
860 0.00220259 0.982536 0.0152618
861 0.00219814 0.982566 0.0152355
862 0.00219373 0.982597 0.0152094
863 0.00218933 0.982627 0.0151833
864 0.00218494 0.982658 0.0151574
865 0.00218055 0.982688 0.0151313
866 0.00217613 0.982719 0.0151051
867 0.00217169 0.98275 0.0150787
868 0.00216721 0.982781 0.015052
869 0.00216269 0.982812 0.0150249
870 0.0021581 0.982844 0.0149974
871 0.00215345 0.982877 0.0149694
872 0.00214879 0.98291 0.0149413
873 0.00214412 0.982943 0.0149132
874 0.00213951 0.982975 0.0148853
875 0.00213499 0.983007 0.0148582
876 0.00213061 0.983037 0.0148319
877 0.0021264 0.983067 0.0148068
878 0.00212239 0.983095 0.0147831
879 0.00211863 0.98312 0.0147611
880 0.00211516 0.983144 0.0147411
881 0.00211199 0.983165 0.0147232
882 0.00210908 0.983184 0.0147071
883 0.00210635 0.983201 0.0146922
884 0.00210377 0.983218 0.0146783
885 0.00210125 0.983234 0.0146648
886 0.00209873 0.98325 0.0146513
887 0.00209615 0.983266 0.0146374
888 0.00209345 0.983284 0.0146226
889 0.00209057 0.983303 0.0146065
890 0.00208746 0.983324 0.0145888
891 0.00208407 0.983347 0.0145691
892 0.00208041 0.983372 0.0145476
893 0.00207653 0.983399 0.0145245
894 0.00207251 0.983427 0.0145003
895 0.00206833 0.983457 0.014475
896 0.00206409 0.983487 0.0144493
897 0.00205979 0.983517 0.0144231
898 0.00205548 0.983548 0.0143969
899 0.00205122 0.983578 0.0143709
900 0.00204702 0.983608 0.0143454
901 0.00204293 0.983637 0.0143206
902 0.00203893 0.983665 0.0142964
903 0.002035 0.983692 0.0142727
904 0.00203114 0.983719 0.0142494
905 0.00202729 0.983746 0.0142262
906 0.00202347 0.983773 0.0142032
907 0.00201965 0.9838 0.0141801
908 0.00201578 0.983827 0.0141568
909 0.00201189 0.983855 0.0141332
910 0.00200792 0.983883 0.0141091
911 0.00200389 0.983912 0.0140844
912 0.0019998 0.983941 0.0140594
913 0.00199572 0.98397 0.0140344
914 0.00199166 0.983999 0.0140095
915 0.00198769 0.984027 0.0139852
916 0.00198381 0.984055 0.0139616
917 0.00198008 0.984081 0.013939
918 0.00197652 0.984106 0.0139176
919 0.0019732 0.984129 0.0138978
920 0.00197011 0.98415 0.0138796
921 0.00196743 0.984169 0.0138638
922 0.00196499 0.984185 0.0138496
923 0.00196272 0.984201 0.0138366
924 0.00196057 0.984215 0.0138245
925 0.00195849 0.984229 0.0138128
926 0.00195643 0.984242 0.0138012
927 0.00195431 0.984256 0.0137893
928 0.00195212 0.984271 0.0137768
929 0.00194978 0.984287 0.0137633
930 0.00194724 0.984304 0.0137483
931 0.00194434 0.984324 0.0137313
932 0.00194122 0.984346 0.0137127
933 0.00193791 0.984369 0.0136928
934 0.00193444 0.984394 0.0136717
935 0.00193082 0.98442 0.0136495
936 0.00192708 0.984446 0.0136265
937 0.00192325 0.984474 0.0136029
938 0.00191936 0.984502 0.0135787
939 0.00191544 0.98453 0.0135543
940 0.00191149 0.984559 0.0135297
941 0.00190755 0.984587 0.0135052
942 0.00190364 0.984616 0.0134809
943 0.0018998 0.984643 0.013457
944 0.00189605 0.98467 0.0134337
945 0.00189242 0.984696 0.0134113
946 0.00188892 0.984721 0.0133898
947 0.0018856 0.984745 0.0133695
948 0.00188245 0.984767 0.0133504
949 0.00187954 0.984787 0.0133331
950 0.00187687 0.984806 0.0133173
