# tmm TMM (tmm_study)
# WaveLength[nm]  Transmission[1]  Reflection[1]  Absorption[1] 
847 0.115715 0.875124 0.00916
848 0.115402 0.875441 0.009156
849 0.115097 0.875748 0.009153
850 0.114794 0.876055 0.009149
851 0.114492 0.876362 0.009145
852 0.114199 0.876659 0.009141
853 0.113906 0.876955 0.009137
854 0.113608 0.877257 0.009133
855 0.113317 0.877552 0.009129
856 0.113028 0.877844 0.009126
857 0.112733 0.878144 0.009122
858 0.112446 0.878435 0.009118
859 0.11216 0.878725 0.009114
860 0.111867 0.879021 0.00911
861 0.111591 0.879302 0.009106
862 0.111315 0.879582 0.009102
863 0.111033 0.879868 0.009098
864 0.110759 0.880145 0.009094
865 0.110487 0.880422 0.00909
866 0.110208 0.880705 0.009085
867 0.109937 0.88098 0.009081
868 0.109667 0.881254 0.009077
869 0.109391 0.881535 0.009073
870 0.109123 0.881807 0.009069
871 0.108863 0.882071 0.009065
872 0.108597 0.882341 0.00906
873 0.108339 0.882604 0.009056
874 0.108082 0.882865 0.009052
875 0.107818 0.883133 0.009047
876 0.107563 0.883393 0.009043
877 0.107308 0.883652 0.009039
878 0.107047 0.883917 0.009035
879 0.106794 0.884174 0.00903
880 0.106535 0.884437 0.009026
881 0.10629 0.884681 0.009028
882 0.106046 0.884923 0.00903
883 0.105795 0.885172 0.009031
884 0.105553 0.885413 0.009033
885 0.105304 0.88566 0.009034
886 0.105063 0.885899 0.009037
887 0.104822 0.886138 0.009038
888 0.104576 0.886383 0.009039
889 0.104337 0.88662 0.009041
890 0.104093 0.886863 0.009043
891 0.103861 0.887086 0.009052
892 0.103624 0.887314 0.00906
893 0.103394 0.887535 0.009069
894 0.103158 0.887763 0.009078
895 0.102929 0.887982 0.009087
896 0.102695 0.888208 0.009095
897 0.102468 0.888427 0.009104
898 0.102235 0.888651 0.009112
899 0.10201 0.888868 0.009121
900 0.101778 0.889092 0.009129
901 0.101561 0.889301 0.009137
902 0.101337 0.889517 0.009145
903 0.101114 0.889731 0.009153
904 0.100899 0.889939 0.00916
905 0.100677 0.890153 0.009168
906 0.100463 0.89036 0.009176
907 0.100243 0.890572 0.009183
908 0.100024 0.890784 0.00919
909 0.099812 0.890989 0.009198
910 0.099594 0.891199 0.009206
911 0.099383 0.891404 0.009212
912 0.099173 0.891607 0.009219
913 0.098969 0.891803 0.009226
914 0.09876 0.892005 0.009233
915 0.098552 0.892207 0.009239
916 0.098344 0.892408 0.009246
917 0.098137 0.892609 0.009253
918 0.097936 0.892802 0.00926
919 0.097731 0.893002 0.009266
920 0.097525 0.893201 0.009273
921 0.097327 0.893393 0.009279
922 0.097129 0.893585 0.009285
923 0.096931 0.893776 0.009291
924 0.096735 0.893967 0.009297
925 0.096538 0.894158 0.009302
926 0.096343 0.894347 0.009308
927 0.096148 0.894536 0.009314
928 0.095953 0.894725 0.00932
929 0.095759 0.894913 0.009326
930 0.095566 0.895101 0.009331
931 0.095379 0.895283 0.009337
932 0.095187 0.89547 0.009342
933 0.095001 0.89565 0.009347
934 0.094816 0.89583 0.009352
935 0.094631 0.89601 0.009358
936 0.094441 0.896195 0.009363
937 0.094257 0.896374 0.009368
938 0.094074 0.896552 0.009373
939 0.093891 0.896729 0.009378
940 0.093703 0.896913 0.009383
941 0.093527 0.897084 0.009387
942 0.093346 0.89726 0.009392
943 0.093172 0.897431 0.009396
944 0.092997 0.897601 0.009401
945 0.092817 0.897776 0.009405
946 0.092644 0.897945 0.009409
947 0.092465 0.898119 0.009414
948 0.092293 0.898288 0.009418
949 0.092115 0.898461 0.009422
950 0.091944 0.898628 0.009426
