# tmm TMM (tmm_study)
# WaveLength[nm]  Transmission[1]  Reflection[1]  Absorption[1] 
913 0.096185 0.866714 0.037099
914 0.095979 0.866888 0.037131
915 0.095774 0.867063 0.037161
916 0.09557 0.867236 0.037192
917 0.095366 0.867409 0.037224
918 0.095169 0.867574 0.037256
919 0.094967 0.867747 0.037285
920 0.094765 0.867918 0.037316
921 0.094569 0.868084 0.037345
922 0.094375 0.868249 0.037375
923 0.094181 0.868413 0.037404
924 0.093987 0.868578 0.037434
925 0.093795 0.868743 0.037461
926 0.093602 0.868907 0.03749
927 0.09341 0.86907 0.037518
928 0.093219 0.869233 0.037547
929 0.093029 0.869395 0.037575
930 0.092839 0.869559 0.037601
931 0.092655 0.869715 0.037628
932 0.092466 0.869878 0.037654
933 0.092284 0.870034 0.037681
934 0.092102 0.870189 0.037708
935 0.09192 0.870344 0.037735
936 0.091734 0.870505 0.03776
937 0.091553 0.87066 0.037786
938 0.091373 0.870813 0.037812
939 0.091194 0.870967 0.037838
940 0.091009 0.871127 0.037862
941 0.090837 0.871275 0.037887
942 0.090659 0.871429 0.037911
943 0.090487 0.871576 0.037935
944 0.090316 0.871723 0.03796
945 0.09014 0.871876 0.037983
946 0.089969 0.872022 0.038007
947 0.089794 0.872175 0.03803
948 0.089625 0.87232 0.038054
949 0.089451 0.872472 0.038076
950 0.089282 0.872617 0.038099
