# ASCII 1D datafile generated by TiberCAD
# 1 x
# 2 GenerationRate
# 3 Intensity
# 4 External_Source_ElectricField
# x GenerationRate Intensity External_Source_ElectricField 
1123.51 2.72463e+20 0.458224 0.0199778 
1128.68 2.71573e+20 0.457503 0.0202296 
1133.85 2.70688e+20 0.456787 0.0201618 
1139.02 2.69809e+20 0.456076 0.0197799 
1144.2 2.68935e+20 0.45537 0.0190946 
1149.37 2.68066e+20 0.454666 0.0181218 
1154.54 2.67201e+20 0.453965 0.0168817 
1159.71 2.66342e+20 0.453264 0.0153982 
1164.89 2.65487e+20 0.452562 0.013698 
1170.06 2.64636e+20 0.45186 0.0118106 
1175.24 2.63791e+20 0.451157 0.00976663 
1180.42 2.62949e+20 0.450451 0.00759841 
1185.59 2.62113e+20 0.449744 0.0053388 
1190.77 2.6128e+20 0.449035 0.00302113 
1195.95 2.60452e+20 0.448325 0.000678854 
1201.13 2.59629e+20 0.447615 -0.00165469 
1206.31 2.5881e+20 0.446905 -0.00394651 
1211.49 2.57996e+20 0.446196 -0.00616418 
1216.67 2.57186e+20 0.44549 -0.00827617 
1221.86 2.5638e+20 0.444787 -0.0102521 
1227.04 2.55579e+20 0.444089 -0.0120632 
1232.22 2.54783e+20 0.443395 -0.0136827 
1237.41 2.53991e+20 0.442707 -0.0150862 
1242.6 2.53204e+20 0.442025 -0.0162524 
1247.78 2.52421e+20 0.44135 -0.0171635 
1252.97 2.51642e+20 0.44068 -0.0178056 
1258.16 2.50868e+20 0.440017 -0.0181689 
1263.35 2.50098e+20 0.439359 -0.0182485 
1268.54 2.49332e+20 0.438705 -0.0180442 
1273.73 2.48571e+20 0.438055 -0.0175606 
1278.92 2.47813e+20 0.437408 -0.0168072 
1284.11 2.4706e+20 0.436763 -0.015798 
1289.3 2.4631e+20 0.436118 -0.0145514 
1294.5 2.45564e+20 0.435474 -0.0130895 
1299.69 2.44821e+20 0.434828 -0.0114378 
1304.89 2.44083e+20 0.434182 -0.00962458 
1310.08 2.43348e+20 0.433533 -0.00768027 
1315.28 2.42616e+20 0.432883 -0.00563687 
1320.48 2.41889e+20 0.432232 -0.00352732 
1325.68 2.41164e+20 0.431579 -0.00138491 
1330.88 2.40444e+20 0.430926 0.000757263 
1336.08 2.39727e+20 0.430272 0.00286678 
1341.28 2.39013e+20 0.42962 0.00491236 
1346.48 2.38304e+20 0.42897 0.00686429 
1351.68 2.37598e+20 0.428322 0.00869468 
1356.88 2.36895e+20 0.427678 0.0103779 
1362.09 2.36197e+20 0.427038 0.0118907 
1367.29 2.35502e+20 0.426403 0.0132126 
1372.5 2.34811e+20 0.425774 0.0143258 
1377.7 2.34123e+20 0.42515 0.0152157 
1382.91 2.33439e+20 0.424531 0.0158709 
1388.12 2.32759e+20 0.423918 0.0162832 
1393.33 2.32082e+20 0.42331 0.0164479 
1398.54 2.31409e+20 0.422705 0.0163636 
1403.75 2.30739e+20 0.422105 0.0160327 
1408.96 2.30072e+20 0.421506 0.0154608 
1414.17 2.29408e+20 0.42091 0.0146575 
1419.38 2.28748e+20 0.420314 0.0136353 
1424.6 2.28091e+20 0.419718 0.0124103 
1429.81 2.27437e+20 0.419122 0.0110019 
1435.02 2.26786e+20 0.418525 0.00943203 
1440.24 2.26137e+20 0.417926 0.00772549 
1445.46 2.25492e+20 0.417325 0.00590918 
1450.67 2.2485e+20 0.416724 0.00401183 
1455.89 2.24211e+20 0.41612 0.00206351 
1461.11 2.23574e+20 0.415517 9.50514e-05 
1466.33 2.22941e+20 0.414913 -0.00186242 
1471.55 2.22311e+20 0.41431 -0.00377811 
1476.77 2.21683e+20 0.413708 -0.00562208 
1481.99 2.21059e+20 0.413109 -0.00736582 
1487.22 2.20438e+20 0.412512 -0.0089827 
1492.44 2.1982e+20 0.41192 -0.0104484 
1497.66 2.19205e+20 0.411332 -0.0117416 
1502.89 2.18593e+20 0.410748 -0.0128435 
1508.11 2.17984e+20 0.410169 -0.0137392 
1513.34 2.17378e+20 0.409596 -0.0144169 
1518.57 2.16775e+20 0.409026 -0.0148684 
1523.8 2.16175e+20 0.408462 -0.015089 
1529.03 2.15578e+20 0.407901 -0.0150776 
1534.26 2.14984e+20 0.407343 -0.0148366 
1539.49 2.14392e+20 0.406787 -0.0143715 
1544.72 2.13803e+20 0.406234 -0.0136912 
1549.95 2.13217e+20 0.40568 -0.0128072 
1555.18 2.12633e+20 0.405128 -0.0117341 
1560.42 2.12052e+20 0.404574 -0.010489 
1565.65 2.11474e+20 0.40402 -0.00909134 
1570.89 2.10898e+20 0.403464 -0.00756253 
1576.12 2.10324e+20 0.402907 -0.005926 
1581.36 2.09753e+20 0.402348 -0.00420665 
1586.6 2.09184e+20 0.401789 -0.00243068 
1591.83 2.08618e+20 0.401229 -0.000625173 
1597.07 2.08054e+20 0.400668 0.00118225 
1602.31 2.07493e+20 0.400108 0.00296383 
1607.55 2.06935e+20 0.39955 0.0046921 
1612.8 2.06379e+20 0.398993 0.00634032 
1618.04 2.05825e+20 0.398439 0.00788294 
