# DOI:10.1039/C6TC02135B + experimental 
# | wavelength | n | k
624.5 2.13441 0
625 2.13386 0
625.5 2.13337 0
626 2.13278 0
626.5 2.13195 0
627 2.13097 0
627.5 2.12995 0
628 2.12889 0
628.5 2.12782 0
629 2.12682 0
629.5 2.12598 0
630 2.12531 0
630.5 2.12476 0
631 2.12425 0
631.5 2.12373 0
632 2.12319 0
632.5 2.12266 0
633 2.12214 0
633.5 2.12163 0
634 2.12112 0
634.5 2.1206 0
635 2.12009 0
635.5 2.11958 0
636 2.11906 0
636.5 2.11854 0
637 2.11802 0
637.5 2.1175 0
638 2.11699 0
638.5 2.11646 0
639 2.11595 0
639.5 2.11544 0
640 2.11495 0
640.5 2.11445 0
641 2.11395 0
641.5 2.11345 0
642 2.11295 0
642.5 2.11245 0
643 2.11195 0
643.5 2.11144 0
644 2.11093 0
644.5 2.11042 0
645 2.10991 0
645.5 2.10941 0
646 2.1089 0
646.5 2.10841 0
647 2.10793 0
647.5 2.10746 0
648 2.10695 0
648.5 2.1064 0
649 2.10598 0
649.5 2.10581 0
650 2.1058 0
650.5 2.1058 0
651 2.1058 0
651.5 2.10582 0
652 2.1058 0
652.5 2.10568 0
653 2.1054 0
653.5 2.10494 0
654 2.10442 0
654.5 2.10394 0
655 2.10343 0
655.5 2.10287 0
656 2.10245 0
656.5 2.10235 0
657 2.1024 0
657.5 2.10241 0
658 2.1024 0
658.5 2.10242 0
659 2.1024 0
659.5 2.10226 0
660 2.10196 0
660.5 2.10153 0
661 2.10102 0
661.5 2.10052 0
662 2.10007 0
662.5 2.09967 0
663 2.09913 0
663.5 2.09828 0
664 2.0973 0
664.5 2.09635 0
665 2.09544 0
665.5 2.09449 0
666 2.09357 0
666.5 2.09274 0
667 2.09206 0
667.5 2.09156 0
668 2.09113 0
668.5 2.09068 0
669 2.09021 0
669.5 2.08974 0
670 2.08928 0
670.5 2.08882 0
671 2.08836 0
671.5 2.08789 0
672 2.08743 0
672.5 2.08698 0
673 2.08651 0
673.5 2.08603 0
674 2.0857 0
674.5 2.08564 0
675 2.0857 0
675.5 2.08571 0
676 2.0857 0
676.5 2.08572 0
677 2.0857 0
677.5 2.08556 0
678 2.08527 0
678.5 2.08486 0
679 2.08438 0
679.5 2.08391 0
680 2.08348 0
680.5 2.08309 0
681 2.08258 0
681.5 2.08186 0
682 2.08099 0
682.5 2.08009 0
683 2.07921 0
683.5 2.07835 0
684 2.07743 0
684.5 2.07642 0
685 2.0757 0
685.5 2.07556 0
686 2.0757 0
686.5 2.07574 0
687 2.0757 0
687.5 2.07569 0
688 2.0757 0
688.5 2.07567 0
689 2.0755 0
689.5 2.07511 0
690 2.07462 0
690.5 2.07416 0
691 2.07373 0
691.5 2.07329 0
692 2.07285 0
692.5 2.07241 0
693 2.07198 0
693.5 2.07155 0
