# DOI:Calculated + 10.1002/adma.201703080 
# | wavelength | n | k
534.5 1.73926 0.05268
535 1.73883 0.05268
535.5 1.73842 0.05267
536 1.73796 0.05267
536.5 1.7375 0.05262
537 1.73701 0.05256
537.5 1.7365 0.05251
538 1.73596 0.05246
538.5 1.73541 0.0524
539 1.73483 0.05235
539.5 1.73421 0.05229
540 1.73357 0.05224
540.5 1.73292 0.05219
541 1.73223 0.05213
541.5 1.73149 0.05208
542 1.73074 0.05203
542.5 1.72997 0.05197
543 1.72915 0.05192
543.5 1.72831 0.05187
544 1.72745 0.05181
544.5 1.72655 0.05176
545 1.72565 0.05171
545.5 1.72474 0.05165
546 1.72379 0.0516
546.5 1.72285 0.05155
547 1.7219 0.05149
547.5 1.72092 0.05144
548 1.71996 0.05129
548.5 1.71897 0.05114
549 1.718 0.05099
549.5 1.71702 0.05084
550 1.71604 0.05068
550.5 1.71505 0.05053
551 1.71407 0.05038
551.5 1.71309 0.05022
552 1.71211 0.05007
552.5 1.71112 0.04992
553 1.71014 0.04977
553.5 1.70916 0.04961
554 1.70816 0.04946
554.5 1.70716 0.04931
555 1.70615 0.04915
555.5 1.70512 0.04905
556 1.70408 0.04898
556.5 1.70302 0.04891
557 1.70196 0.04885
557.5 1.70087 0.04878
558 1.69977 0.04871
558.5 1.69864 0.04864
559 1.69748 0.04857
559.5 1.69629 0.0485
560 1.69508 0.04843
560.5 1.69384 0.04837
561 1.69257 0.0483
561.5 1.69128 0.04823
562 1.68993 0.04816
562.5 1.68857 0.04809
563 1.68716 0.04802
563.5 1.68569 0.04796
564 1.6842 0.04789
564.5 1.68266 0.04794
565 1.68109 0.048
565.5 1.67946 0.04807
566 1.67779 0.04814
566.5 1.67609 0.04821
567 1.67435 0.04827
567.5 1.67257 0.04834
568 1.67077 0.04841
568.5 1.66893 0.04848
569 1.66705 0.04854
569.5 1.66516 0.04861
570 1.66325 0.04867
570.5 1.66132 0.04874
571 1.65936 0.04881
571.5 1.65739 0.04888
572 1.65539 0.04894
572.5 1.65339 0.04891
573 1.65139 0.04883
573.5 1.64936 0.04876
574 1.64734 0.04868
574.5 1.6453 0.04861
575 1.64327 0.04853
575.5 1.64123 0.04846
576 1.63919 0.04838
576.5 1.63717 0.04831
577 1.63514 0.04824
577.5 1.63312 0.04816
578 1.63111 0.04809
578.5 1.62911 0.04801
579 1.62713 0.04793
579.5 1.62515 0.04786
580 1.62319 0.04779
580.5 1.62122 0.04792
581 1.61927 0.04819
581.5 1.61732 0.04846
582 1.61537 0.04873
582.5 1.61344 0.049
583 1.61151 0.04928
583.5 1.60957 0.04955
584 1.60764 0.04982
584.5 1.60572 0.05009
585 1.60379 0.05036
585.5 1.60187 0.05063
586 1.59994 0.05091
586.5 1.59802 0.05118
587 1.59609 0.05145
587.5 1.59417 0.05172
588 1.59224 0.05199
588.5 1.59031 0.05226
589 1.58839 0.05254
589.5 1.58645 0.05281
590 1.58452 0.05308
590.5 1.58258 0.05335
591 1.58062 0.05399
591.5 1.57866 0.05469
592 1.57668 0.0554
592.5 1.57466 0.0561
593 1.57262 0.0568
593.5 1.57054 0.05751
594 1.56842 0.05821
594.5 1.56627 0.05892
595 1.56407 0.05962
595.5 1.5618 0.06033
596 1.55948 0.06103
596.5 1.55711 0.06174
597 1.55466 0.06244
597.5 1.55214 0.06315
598 1.54954 0.06385
598.5 1.54687 0.06456
599 1.54411 0.06521
599.5 1.54125 0.06585
600 1.53831 0.06648
600.5 1.53524 0.06712
601 1.53207 0.06775
601.5 1.52878 0.06838
602 1.52536 0.06902
602.5 1.52181 0.06965
603 1.51814 0.07029
603.5 1.51437 0.07092
604 1.51053 0.07155
604.5 1.50662 0.07219
605 1.50267 0.07282
605.5 1.4987 0.07346
606 1.49471 0.07409
606.5 1.49074 0.07472
607 1.4868 0.07536
607.5 1.48289 0.07599
608 1.47905 0.07663
608.5 1.47529 0.07726
609 1.47163 0.07789
609.5 1.46809 0.07857
610 1.46466 0.07949
610.5 1.46137 0.08041
611 1.45824 0.08132
611.5 1.45527 0.08224
612 1.45244 0.08316
612.5 1.44974 0.08408
613 1.44714 0.08499
613.5 1.44468 0.08591
614 1.4423 0.08683
614.5 1.44002 0.08775
615 1.4378 0.08866
615.5 1.43567 0.08958
616 1.4336 0.0905
616.5 1.43159 0.09142
617 1.42962 0.09233
617.5 1.42768 0.09325
618 1.42577 0.09432
618.5 1.42388 0.09539
619 1.42199 0.09647
