# DOI:10.1039/C6TC02135B + experimental 
# | wavelength | n | k
655.5 2.102871 0.000000
656.0 2.102449 0.000000
656.5 2.102347 0.000000
657.0 2.102400 0.000000
657.5 2.102410 0.000000
658.0 2.102400 0.000000
658.5 2.102420 0.000000
659.0 2.102400 0.000000
659.5 2.102257 0.000000
660.0 2.101965 0.000000
660.5 2.101528 0.000000
661.0 2.101019 0.000000
661.5 2.100519 0.000000
662.0 2.100074 0.000000
662.5 2.099674 0.000000
663.0 2.099129 0.000000
663.5 2.098283 0.000000
664.0 2.097296 0.000000
664.5 2.096353 0.000000
665.0 2.095435 0.000000
665.5 2.094494 0.000000
666.0 2.093574 0.000000
666.5 2.092741 0.000000
667.0 2.092058 0.000000
667.5 2.091556 0.000000
668.0 2.091133 0.000000
668.5 2.090681 0.000000
669.0 2.090208 0.000000
669.5 2.089742 0.000000
670.0 2.089283 0.000000
670.5 2.088822 0.000000
671.0 2.088359 0.000000
671.5 2.087894 0.000000
672.0 2.087434 0.000000
672.5 2.086980 0.000000
673.0 2.086510 0.000000
673.5 2.086031 0.000000
674.0 2.085700 0.000000
674.5 2.085640 0.000000
675.0 2.085700 0.000000
675.5 2.085710 0.000000
676.0 2.085700 0.000000
676.5 2.085720 0.000000
677.0 2.085700 0.000000
677.5 2.085557 0.000000
678.0 2.085272 0.000000
678.5 2.084855 0.000000
679.0 2.084376 0.000000
679.5 2.083907 0.000000
680.0 2.083480 0.000000
680.5 2.083086 0.000000
681.0 2.082585 0.000000
681.5 2.081858 0.000000
682.0 2.080987 0.000000
682.5 2.080087 0.000000
683.0 2.079206 0.000000
683.5 2.078348 0.000000
684.0 2.077426 0.000000
684.5 2.076422 0.000000
685.0 2.075700 0.000000
685.5 2.075564 0.000000
686.0 2.075700 0.000000
686.5 2.075736 0.000000
687.0 2.075700 0.000000
687.5 2.075692 0.000000
688.0 2.075700 0.000000
688.5 2.075673 0.000000
689.0 2.075500 0.000000
689.5 2.075108 0.000000
690.0 2.074617 0.000000
690.5 2.074162 0.000000
691.0 2.073733 0.000000
691.5 2.073294 0.000000
692.0 2.072849 0.000000
692.5 2.072411 0.000000
693.0 2.071979 0.000000
693.5 2.071552 0.000000
694.0 2.071131 0.000000
694.5 2.070713 0.000000
695.0 2.070282 0.000000
695.5 2.069834 0.000000
696.0 2.069434 0.000000
696.5 2.069150 0.000000
697.0 2.069000 0.000000
697.5 2.068974 0.000000
698.0 2.069000 0.000000
698.5 2.069007 0.000000
699.0 2.069000 0.000000
699.5 2.068998 0.000000
700.0 2.069000 0.000000
700.5 2.069000 0.000000
701.0 2.069000 0.000000
701.5 2.069002 0.000000
702.0 2.069000 0.000000
702.5 2.068992 0.000000
703.0 2.069000 0.000000
703.5 2.069031 0.000000
704.0 2.069000 0.000000
704.5 2.068823 0.000000
705.0 2.068510 0.000000
705.5 2.068101 0.000000
706.0 2.067656 0.000000
706.5 2.067225 0.000000
707.0 2.066803 0.000000
707.5 2.066376 0.000000
708.0 2.065949 0.000000
708.5 2.065531 0.000000
709.0 2.065121 0.000000
709.5 2.064715 0.000000
710.0 2.064311 0.000000
710.5 2.063906 0.000000
711.0 2.063500 0.000000
711.5 2.063094 0.000000
712.0 2.062689 0.000000
712.5 2.062285 0.000000
713.0 2.061883 0.000000
713.5 2.061481 0.000000
714.0 2.061082 0.000000
714.5 2.060685 0.000000
715.0 2.060280 0.000000
715.5 2.059864 0.000000
716.0 2.059479 0.000000
716.5 2.059176 0.000000
717.0 2.059000 0.000000
717.5 2.058969 0.000000
718.0 2.059000 0.000000
718.5 2.059008 0.000000
719.0 2.059000 0.000000
719.5 2.058998 0.000000
720.0 2.059000 0.000000
720.5 2.059001 0.000000
721.0 2.059000 0.000000
721.5 2.058999 0.000000
722.0 2.059000 0.000000
722.5 2.059004 0.000000
723.0 2.059000 0.000000
723.5 2.058985 0.000000
724.0 2.059000 0.000000
724.5 2.059054 0.000000
725.0 2.058981 0.000000
725.5 2.058644 0.000000
726.0 2.058184 0.000000
726.5 2.057768 0.000000
727.0 2.057386 0.000000
727.5 2.056992 0.000000
728.0 2.056589 0.000000
728.5 2.056188 0.000000
729.0 2.055792 0.000000
729.5 2.055401 0.000000
730.0 2.055013 0.000000
730.5 2.054625 0.000000
731.0 2.054240 0.000000
731.5 2.053859 0.000000
732.0 2.053467 0.000000
732.5 2.053059 0.000000
733.0 2.052695 0.000000
733.5 2.052437 0.000000
734.0 2.052300 0.000000
734.5 2.052276 0.000000
735.0 2.052300 0.000000
735.5 2.052309 0.000000
736.0 2.052300 0.000000
736.5 2.052288 0.000000
737.0 2.052300 0.000000
737.5 2.052331 0.000000
738.0 2.052237 0.000000
738.5 2.051904 0.000000
739.0 2.051460 0.000000
739.5 2.051057 0.000000
740.0 2.050683 0.000000
740.5 2.050299 0.000000
741.0 2.049905 0.000000
741.5 2.049513 0.000000
742.0 2.049128 0.000000
742.5 2.048752 0.000000
743.0 2.048383 0.000000
743.5 2.048017 0.000000
744.0 2.047652 0.000000
744.5 2.047287 0.000000
745.0 2.046921 0.000000
745.5 2.046556 0.000000
746.0 2.046191 0.000000
746.5 2.045825 0.000000
747.0 2.045454 0.000000
747.5 2.045077 0.000000
748.0 2.044695 0.000000
748.5 2.044312 0.000000
749.0 2.043936 0.000000
749.5 2.043567 0.000000
750.0 2.043177 0.000000
750.5 2.042759 0.000000
751.0 2.042418 0.000000
751.5 2.042249 0.000000
752.0 2.042200 0.000000
752.5 2.042194 0.000000
753.0 2.042200 0.000000
753.5 2.042202 0.000000
754.0 2.042200 0.000000
754.5 2.042200 0.000000
755.0 2.042200 0.000000
755.5 2.042200 0.000000
756.0 2.042200 0.000000
756.5 2.042200 0.000000
757.0 2.042200 0.000000
757.5 2.042201 0.000000
758.0 2.042200 0.000000
758.5 2.042195 0.000000
759.0 2.042200 0.000000
759.5 2.042220 0.000000
760.0 2.042200 0.000000
760.5 2.042081 0.000000
761.0 2.041850 0.000000
761.5 2.041519 0.000000
762.0 2.041147 0.000000
762.5 2.040790 0.000000
763.0 2.040444 0.000000
763.5 2.040094 0.000000
764.0 2.039741 0.000000
764.5 2.039390 0.000000
765.0 2.039038 0.000000
765.5 2.038680 0.000000
766.0 2.038319 0.000000
766.5 2.037958 0.000000
767.0 2.037596 0.000000
767.5 2.037232 0.000000
768.0 2.036873 0.000000
768.5 2.036520 0.000000
769.0 2.036150 0.000000
769.5 2.035768 0.000000
770.0 2.035500 0.000000
770.5 2.035450 0.000000
771.0 2.035500 0.000000
771.5 2.035513 0.000000
772.0 2.035500 0.000000
772.5 2.035496 0.000000
773.0 2.035500 0.000000
773.5 2.035501 0.000000
774.0 2.035500 0.000000
774.5 2.035500 0.000000
775.0 2.035500 0.000000
775.5 2.035500 0.000000
776.0 2.035500 0.000000
776.5 2.035501 0.000000
777.0 2.035500 0.000000
777.5 2.035496 0.000000
778.0 2.035500 0.000000
778.5 2.035514 0.000000
779.0 2.035500 0.000000
779.5 2.035412 0.000000
780.0 2.035219 0.000000
780.5 2.034910 0.000000
781.0 2.034550 0.000000
781.5 2.034208 0.000000
782.0 2.033881 0.000000
782.5 2.033553 0.000000
783.0 2.033212 0.000000
783.5 2.032858 0.000000
784.0 2.032543 0.000000
784.5 2.032319 0.000000
785.0 2.032200 0.000000
785.5 2.032179 0.000000
786.0 2.032200 0.000000
786.5 2.032207 0.000000
787.0 2.032200 0.000000
787.5 2.032194 0.000000
788.0 2.032200 0.000000
788.5 2.032219 0.000000
789.0 2.032200 0.000000
789.5 2.032091 0.000000
790.0 2.031879 0.000000
790.5 2.031572 0.000000
791.0 2.031226 0.000000
791.5 2.030895 0.000000
792.0 2.030574 0.000000
792.5 2.030249 0.000000
793.0 2.029922 0.000000
793.5 2.029595 0.000000
794.0 2.029269 0.000000
794.5 2.028941 0.000000
