# DOI:10.1080/14686996.2018.1530050 + 10.1002/aenm.201702854 
# | wavelength | n | k
573.5 1.470675 0.158341
574.0 1.473242 0.158974
574.5 1.475804 0.159606
575.0 1.478363 0.160239
575.5 1.480923 0.160872
576.0 1.483485 0.161505
576.5 1.486052 0.162138
577.0 1.488628 0.162771
577.5 1.491215 0.163404
578.0 1.493816 0.164037
578.5 1.496434 0.164670
579.0 1.499071 0.166614
579.5 1.501730 0.168867
580.0 1.504415 0.171120
580.5 1.507130 0.173193
581.0 1.509890 0.174018
581.5 1.512711 0.174842
582.0 1.515609 0.175667
582.5 1.518600 0.176491
583.0 1.521699 0.177315
583.5 1.524922 0.178140
584.0 1.528285 0.178964
584.5 1.531804 0.179788
585.0 1.535495 0.180613
585.5 1.539374 0.181437
586.0 1.543455 0.182261
586.5 1.547756 0.183152
587.0 1.552292 0.184043
587.5 1.557078 0.184934
588.0 1.562131 0.185826
588.5 1.567467 0.186717
589.0 1.573100 0.187608
589.5 1.579024 0.188499
590.0 1.585202 0.189391
590.5 1.591600 0.190282
591.0 1.598180 0.191173
591.5 1.604906 0.192064
592.0 1.611741 0.192956
592.5 1.618649 0.193847
593.0 1.625593 0.194738
593.5 1.632537 0.195713
594.0 1.639444 0.197176
594.5 1.646281 0.198640
595.0 1.653029 0.200103
595.5 1.659666 0.201567
596.0 1.666174 0.203030
596.5 1.672535 0.204494
597.0 1.678728 0.205957
597.5 1.684736 0.207421
598.0 1.690538 0.208885
598.5 1.696116 0.210152
599.0 1.701463 0.211395
599.5 1.706594 0.212639
600.0 1.711527 0.213883
600.5 1.716280 0.215126
601.0 1.720872 0.216370
601.5 1.725321 0.217614
602.0 1.729646 0.218857
602.5 1.733863 0.220101
603.0 1.737992 0.221345
603.5 1.742051 0.222588
604.0 1.746058 0.223832
604.5 1.750030 0.225076
605.0 1.753988 0.226319
605.5 1.757947 0.229834
606.0 1.761928 0.233349
606.5 1.765947 0.236864
607.0 1.770023 0.239741
607.5 1.774175 0.241354
608.0 1.778418 0.242967
608.5 1.782749 0.244580
609.0 1.787158 0.246193
609.5 1.791635 0.247806
610.0 1.796168 0.249419
610.5 1.800748 0.251032
611.0 1.805365 0.252645
611.5 1.810006 0.254258
612.0 1.814664 0.255871
612.5 1.819325 0.257449
613.0 1.823982 0.258911
613.5 1.828622 0.260373
614.0 1.833235 0.261836
614.5 1.837811 0.263298
615.0 1.842340 0.264761
615.5 1.846811 0.266223
616.0 1.851214 0.267686
616.5 1.855538 0.269148
617.0 1.859772 0.270610
617.5 1.863907 0.272073
618.0 1.867931 0.273535
618.5 1.871841 0.274998
619.0 1.875647 0.276360
619.5 1.879360 0.277463
620.0 1.882994 0.278567
620.5 1.886560 0.279670
621.0 1.890071 0.280774
621.5 1.893540 0.281877
622.0 1.896978 0.282981
622.5 1.900397 0.284084
623.0 1.903811 0.285188
623.5 1.907232 0.286292
624.0 1.910672 0.287395
624.5 1.914142 0.288499
625.0 1.917657 0.289602
625.5 1.921227 0.290706
626.0 1.924865 0.291809
626.5 1.928584 0.292913
627.0 1.932389 0.294017
627.5 1.936270 0.294998
628.0 1.940217 0.295893
628.5 1.944218 0.296789
629.0 1.948261 0.297684
629.5 1.952337 0.298580
630.0 1.956433 0.299475
630.5 1.960539 0.300371
631.0 1.964643 0.301266
631.5 1.968734 0.302162
632.0 1.972800 0.303057
632.5 1.976831 0.303953
633.0 1.980816 0.304848
633.5 1.984742 0.305744
634.0 1.988600 0.306639
634.5 1.992377 0.307534
635.0 1.996063 0.308428
635.5 1.999647 0.309322
636.0 2.003118 0.310216
636.5 2.006477 0.311110
637.0 2.009731 0.312004
637.5 2.012885 0.312898
638.0 2.015946 0.313792
638.5 2.018920 0.314686
639.0 2.021813 0.315402
639.5 2.024631 0.315827
640.0 2.027379 0.316252
640.5 2.030065 0.316677
641.0 2.032693 0.317101
641.5 2.035271 0.317526
642.0 2.037803 0.317951
642.5 2.040297 0.318376
643.0 2.042759 0.318801
643.5 2.045193 0.319226
644.0 2.047607 0.319651
644.5 2.050007 0.320076
645.0 2.052398 0.320442
645.5 2.054786 0.320660
646.0 2.057179 0.320878
646.5 2.059581 0.321096
647.0 2.061998 0.321314
647.5 2.064438 0.321532
648.0 2.066904 0.321750
648.5 2.069397 0.321968
649.0 2.071918 0.322186
649.5 2.074468 0.322404
650.0 2.077047 0.322622
650.5 2.079656 0.322840
651.0 2.082296 0.323015
651.5 2.084966 0.322987
652.0 2.087668 0.322959
652.5 2.090402 0.322931
653.0 2.093169 0.322904
653.5 2.095969 0.322876
654.0 2.098803 0.322848
654.5 2.101671 0.322820
655.0 2.104575 0.322792
655.5 2.107514 0.322764
656.0 2.110490 0.322970
656.5 2.113503 0.323215
657.0 2.116553 0.323461
657.5 2.119641 0.323707
658.0 2.122768 0.323953
658.5 2.125934 0.324199
659.0 2.129140 0.324445
659.5 2.132387 0.324690
660.0 2.135674 0.324936
660.5 2.139004 0.325182
661.0 2.142375 0.325428
661.5 2.145789 0.325674
662.0 2.149246 0.325920
662.5 2.152745 0.326166
663.0 2.156286 0.326411
663.5 2.159868 0.326657
664.0 2.163491 0.326903
664.5 2.167156 0.327226
665.0 2.170860 0.327955
665.5 2.174605 0.328685
666.0 2.178390 0.329415
666.5 2.182213 0.330144
667.0 2.186076 0.330874
667.5 2.189978 0.331604
668.0 2.193918 0.332333
668.5 2.197895 0.333063
669.0 2.201911 0.333792
669.5 2.205964 0.334522
670.0 2.210054 0.335252
670.5 2.214181 0.335981
671.0 2.218345 0.336711
671.5 2.222547 0.337463
672.0 2.226785 0.338293
672.5 2.231060 0.339124
673.0 2.235372 0.339955
673.5 2.239720 0.340785
674.0 2.244105 0.341616
674.5 2.248527 0.342446
675.0 2.252985 0.343518
675.5 2.257479 0.344685
676.0 2.262009 0.345852
676.5 2.266576 0.347019
677.0 2.271178 0.348186
677.5 2.275816 0.349353
678.0 2.280491 0.350520
678.5 2.285201 0.351687
679.0 2.289946 0.352854
679.5 2.294727 0.354021
680.0 2.299544 0.355188
680.5 2.304396 0.356355
681.0 2.309283 0.357693
681.5 2.314206 0.359119
682.0 2.319163 0.360544
682.5 2.324157 0.361970
683.0 2.329194 0.363396
683.5 2.334282 0.364821
684.0 2.339432 0.366247
684.5 2.344651 0.367673
685.0 2.349949 0.369099
685.5 2.355334 0.370524
686.0 2.360816 0.372212
686.5 2.366404 0.374196
687.0 2.372105 0.376179
687.5 2.377930 0.378163
688.0 2.383887 0.380146
688.5 2.389985 0.382130
689.0 2.396225 0.384113
689.5 2.402597 0.386097
690.0 2.409091 0.388100
690.5 2.415696 0.390214
691.0 2.422401 0.392327
691.5 2.429195 0.394440
692.0 2.436068 0.396554
692.5 2.443009 0.398667
693.0 2.450008 0.400781
693.5 2.457053 0.402894
694.0 2.464134 0.404442
694.5 2.471241 0.405812
695.0 2.478363 0.407183
695.5 2.485500 0.408553
696.0 2.492653 0.409923
696.5 2.499824 0.411293
697.0 2.507016 0.412600
697.5 2.514229 0.413739
698.0 2.521467 0.414877
698.5 2.528730 0.416015
699.0 2.536022 0.417154
699.5 2.543343 0.418292
700.0 2.550697 0.419430
700.5 2.558084 0.420569
701.0 2.565506 0.421394
701.5 2.572966 0.422164
702.0 2.580466 0.422934
702.5 2.588013 0.423704
703.0 2.595627 0.424474
703.5 2.603337 0.425244
704.0 2.611165 0.426014
704.5 2.619140 0.426784
705.0 2.627285 0.427300
705.5 2.635626 0.427549
706.0 2.644189 0.427797
706.5 2.653000 0.428045
707.0 2.662056 0.428294
707.5 2.671298 0.428542
708.0 2.680661 0.428790
708.5 2.690079 0.429008
709.0 2.699484 0.428340
709.5 2.708810 0.427672
710.0 2.717992 0.427005
710.5 2.726963 0.426337
711.0 2.735657 0.425670
711.5 2.744011 0.425002
712.0 2.752017 0.424285
712.5 2.759704 0.423515
713.0 2.767101 0.422745
713.5 2.774239 0.421976
714.0 2.781149 0.421206
714.5 2.787859 0.420436
715.0 2.794400 0.418921
715.5 2.800802 0.417300
716.0 2.807095 0.415678
716.5 2.813309 0.414086
717.0 2.819448 0.412713
717.5 2.825475 0.411340
718.0 2.831347 0.409968
718.5 2.837022 0.408595
719.0 2.842458 0.407222
719.5 2.847613 0.405849
720.0 2.852446 0.404476
720.5 2.856944 0.402082
721.0 2.861108 0.399054
721.5 2.864940 0.396025
722.0 2.868443 0.392997
722.5 2.871619 0.391688
723.0 2.874471 0.390709
723.5 2.877000 0.389730
724.0 2.879210 0.388751
724.5 2.881112 0.387771
725.0 2.882726 0.386792
725.5 2.884072 0.385813
726.0 2.885170 0.384834
726.5 2.886040 0.383030
727.0 2.886702 0.380060
727.5 2.887177 0.377091
728.0 2.887476 0.374121
728.5 2.887594 0.371151
729.0 2.887524 0.368181
729.5 2.887259 0.364887
730.0 2.886790 0.361485
730.5 2.886110 0.358083
731.0 2.885211 0.354680
731.5 2.884085 0.351278
732.0 2.882726 0.347876
732.5 2.881125 0.344474
733.0 2.879275 0.341071
733.5 2.877174 0.337669
734.0 2.874842 0.334267
734.5 2.872299 0.330865
735.0 2.869567 0.327462
735.5 2.866666 0.324060
736.0 2.863619 0.320658
736.5 2.860445 0.317256
737.0 2.857167 0.313853
737.5 2.853806 0.310451
738.0 2.850381 0.307506
738.5 2.846887 0.304729
739.0 2.843300 0.301952
739.5 2.839593 0.299174
740.0 2.835740 0.296397
740.5 2.831715 0.293620
741.0 2.827491 0.290842
741.5 2.823042 0.288065
742.0 2.818343 0.285287
742.5 2.813366 0.282510
743.0 2.808086 0.279733
743.5 2.802478 0.276955
744.0 2.796560 0.274178
744.5 2.790391 0.271401
745.0 2.784029 0.268623
745.5 2.777536 0.265846
746.0 2.770970 0.262815
746.5 2.764393 0.259679
747.0 2.757863 0.256542
747.5 2.751441 0.253406
748.0 2.745183 0.250270
748.5 2.739092 0.247134
749.0 2.733142 0.243997
749.5 2.727305 0.240861
750.0 2.721554 0.237725
750.5 2.715861 0.234588
751.0 2.710199 0.231452
751.5 2.704539 0.228316
752.0 2.698856 0.225180
752.5 2.693126 0.222043
753.0 2.687374 0.218907
753.5 2.681640 0.215771
754.0 2.675962 0.212635
754.5 2.670381 0.209498
755.0 2.664936 0.206362
755.5 2.659669 0.203226
756.0 2.654617 0.200089
756.5 2.649823 0.197264
757.0 2.645324 0.194457
757.5 2.641128 0.191650
758.0 2.637181 0.188843
758.5 2.633426 0.186036
759.0 2.629802 0.183229
759.5 2.626250 0.180422
760.0 2.622711 0.177615
760.5 2.619126 0.174808
761.0 2.615435 0.172001
761.5 2.611580 0.169194
762.0 2.607500 0.166387
762.5 2.603138 0.163580
763.0 2.598470 0.160773
763.5 2.593550 0.157966
764.0 2.588442 0.155159
764.5 2.583208 0.152352
765.0 2.577913 0.149545
765.5 2.572618 0.146738
766.0 2.567388 0.144081
766.5 2.562286 0.142229
767.0 2.557375 0.140378
767.5 2.552714 0.138526
768.0 2.548314 0.136675
768.5 2.544153 0.134823
769.0 2.540207 0.132972
769.5 2.536454 0.131120
770.0 2.532871 0.129537
770.5 2.529435 0.128098
771.0 2.526124 0.126659
771.5 2.522915 0.125220
772.0 2.519784 0.123781
772.5 2.516710 0.122342
773.0 2.513669 0.120903
773.5 2.510639 0.119464
774.0 2.507596 0.118026
774.5 2.504518 0.116078
775.0 2.501386 0.112824
775.5 2.498201 0.109570
776.0 2.494968 0.106317
776.5 2.491694 0.104141
777.0 2.488386 0.103018
777.5 2.485050 0.101894
778.0 2.481691 0.100771
778.5 2.478317 0.099647
779.0 2.474935 0.098524
779.5 2.471549 0.097400
780.0 2.468167 0.096277
780.5 2.464796 0.095188
781.0 2.461440 0.094464
781.5 2.458108 0.093740
782.0 2.454805 0.093017
