# DOI:Calculated from 10.1116/1.5121604 
# | wavelength | n | k
629.5 2.756743 0.044396
630.0 2.755787 0.044379
630.5 2.754840 0.044362
631.0 2.753897 0.044345
631.5 2.752967 0.044327
632.0 2.752043 0.044310
632.5 2.751125 0.044292
633.0 2.750213 0.044277
633.5 2.749307 0.044259
634.0 2.748409 0.044240
634.5 2.747512 0.044222
635.0 2.746622 0.044204
635.5 2.745735 0.044186
636.0 2.744850 0.044167
636.5 2.743971 0.044149
637.0 2.743097 0.044131
637.5 2.742219 0.044112
638.0 2.741345 0.044093
638.5 2.740474 0.044075
639.0 2.739606 0.044057
639.5 2.738735 0.044039
640.0 2.737862 0.044020
640.5 2.736991 0.044049
641.0 2.736118 0.044084
641.5 2.735245 0.044119
642.0 2.734367 0.044151
642.5 2.733488 0.044187
643.0 2.732603 0.044223
643.5 2.731714 0.044258
644.0 2.730818 0.044291
644.5 2.729921 0.044327
645.0 2.729016 0.044363
645.5 2.728103 0.044400
646.0 2.727183 0.044433
646.5 2.726260 0.044471
647.0 2.725330 0.044509
647.5 2.724400 0.044569
648.0 2.723471 0.044625
648.5 2.722540 0.044686
649.0 2.721612 0.044746
649.5 2.720689 0.044807
650.0 2.719769 0.044863
650.5 2.718860 0.044923
651.0 2.717953 0.044983
651.5 2.717060 0.045043
652.0 2.716176 0.045100
652.5 2.715306 0.045160
653.0 2.714448 0.045236
653.5 2.713606 0.045315
654.0 2.712782 0.045394
654.5 2.711978 0.045472
655.0 2.711191 0.045550
655.5 2.710426 0.045628
656.0 2.709678 0.045702
656.5 2.708945 0.045778
657.0 2.708230 0.045855
657.5 2.707532 0.045932
658.0 2.706841 0.046008
658.5 2.706162 0.046084
659.0 2.705487 0.046160
659.5 2.704822 0.046236
660.0 2.704159 0.046311
660.5 2.703502 0.046386
661.0 2.702842 0.046462
661.5 2.702184 0.046537
662.0 2.701524 0.046654
662.5 2.700857 0.046773
663.0 2.700187 0.046891
663.5 2.699506 0.047011
664.0 2.698817 0.047130
664.5 2.698125 0.047249
665.0 2.697422 0.047369
665.5 2.696715 0.047489
666.0 2.696002 0.047609
666.5 2.695288 0.047729
667.0 2.694572 0.047853
667.5 2.693854 0.047969
668.0 2.693138 0.048093
668.5 2.692424 0.048203
669.0 2.691710 0.048294
669.5 2.691003 0.048385
670.0 2.690299 0.048471
670.5 2.689604 0.048562
671.0 2.688917 0.048653
671.5 2.688239 0.048740
672.0 2.687570 0.048831
672.5 2.686912 0.048921
673.0 2.686261 0.049008
673.5 2.685625 0.049099
674.0 2.684995 0.049189
674.5 2.684379 0.049276
675.0 2.683771 0.049366
675.5 2.683171 0.049453
676.0 2.682584 0.049543
676.5 2.682005 0.049630
677.0 2.681439 0.049735
677.5 2.680877 0.049848
678.0 2.680327 0.049965
678.5 2.679782 0.050077
