# DOI:10.1039/C6TC02135B + experimental 
# | wavelength | n | k
676.5 1.974397 0.000000
677.0 1.974114 0.000000
677.5 1.973968 0.000000
678.0 1.973822 0.000000
678.5 1.973807 0.000000
679.0 1.973792 0.000000
679.5 1.973777 0.000000
680.0 1.973763 0.000000
680.5 1.973749 0.000000
681.0 1.973734 0.000000
681.5 1.973720 0.000000
682.0 1.973706 0.000000
682.5 1.973692 0.000000
683.0 1.973679 0.000000
683.5 1.973666 0.000000
684.0 1.973652 0.000000
684.5 1.973637 0.000000
685.0 1.973621 0.000000
685.5 1.973526 0.000000
686.0 1.973430 0.000000
686.5 1.973121 0.000000
687.0 1.972813 0.000000
687.5 1.972504 0.000000
688.0 1.972196 0.000000
688.5 1.971888 0.000000
689.0 1.971579 0.000000
689.5 1.971272 0.000000
690.0 1.970965 0.000000
690.5 1.970664 0.000000
691.0 1.970363 0.000000
691.5 1.970064 0.000000
692.0 1.969764 0.000000
692.5 1.969464 0.000000
693.0 1.969165 0.000000
693.5 1.968902 0.000000
694.0 1.968639 0.000000
694.5 1.968517 0.000000
695.0 1.968396 0.000000
695.5 1.968383 0.000000
696.0 1.968369 0.000000
696.5 1.968355 0.000000
697.0 1.968342 0.000000
697.5 1.968322 0.000000
698.0 1.968302 0.000000
698.5 1.968196 0.000000
699.0 1.968091 0.000000
699.5 1.967790 0.000000
700.0 1.967489 0.000000
700.5 1.967188 0.000000
701.0 1.966887 0.000000
701.5 1.966585 0.000000
702.0 1.966284 0.000000
702.5 1.965986 0.000000
703.0 1.965688 0.000000
703.5 1.965400 0.000000
704.0 1.965112 0.000000
704.5 1.964828 0.000000
705.0 1.964544 0.000000
705.5 1.964260 0.000000
706.0 1.963977 0.000000
706.5 1.963693 0.000000
707.0 1.963408 0.000000
707.5 1.963119 0.000000
708.0 1.962831 0.000000
708.5 1.962537 0.000000
709.0 1.962243 0.000000
709.5 1.961949 0.000000
710.0 1.961654 0.000000
710.5 1.961359 0.000000
