# DOI:10.1002/adom.202000319 + 10.1002/aenm.201702854 
# | wavelength | n | k
510.0 1.548667 0.151166
510.5 1.550399 0.152124
511.0 1.552240 0.153083
511.5 1.554179 0.154041
512.0 1.556206 0.154999
512.5 1.558310 0.155957
513.0 1.560481 0.156915
513.5 1.562708 0.157873
514.0 1.564980 0.158831
514.5 1.567289 0.159789
515.0 1.569621 0.160747
515.5 1.571969 0.161705
516.0 1.574320 0.162663
516.5 1.576664 0.163621
517.0 1.578991 0.164580
517.5 1.581291 0.165538
518.0 1.583553 0.166496
518.5 1.585766 0.167473
519.0 1.587922 0.168780
519.5 1.590024 0.170086
520.0 1.592073 0.171393
520.5 1.594073 0.172699
521.0 1.596027 0.174005
521.5 1.597938 0.175312
522.0 1.599809 0.176618
522.5 1.601642 0.177925
523.0 1.603442 0.179231
523.5 1.605210 0.180537
524.0 1.606950 0.181844
524.5 1.608664 0.183150
525.0 1.610357 0.184457
525.5 1.612030 0.185763
526.0 1.613688 0.187069
526.5 1.615332 0.188376
527.0 1.616966 0.189682
527.5 1.618592 0.190989
528.0 1.620215 0.192295
528.5 1.621836 0.193601
529.0 1.623460 0.194711
529.5 1.625088 0.195738
530.0 1.626723 0.196765
530.5 1.628370 0.197792
531.0 1.630030 0.198819
531.5 1.631708 0.199846
532.0 1.633407 0.200873
532.5 1.635133 0.201900
533.0 1.636890 0.202927
533.5 1.638684 0.203954
534.0 1.640519 0.204981
534.5 1.642400 0.206008
535.0 1.644332 0.207035
535.5 1.646320 0.208062
536.0 1.648369 0.209089
536.5 1.650483 0.210116
537.0 1.652668 0.211143
537.5 1.654928 0.212170
538.0 1.657269 0.213197
538.5 1.659695 0.214224
539.0 1.662211 0.215251
539.5 1.664823 0.216278
540.0 1.667534 0.217305
540.5 1.670350 0.218331
541.0 1.673275 0.219358
541.5 1.676313 0.220385
542.0 1.679462 0.221412
542.5 1.682721 0.222439
543.0 1.686090 0.223466
543.5 1.689569 0.224493
544.0 1.693157 0.225520
544.5 1.696852 0.226547
545.0 1.700655 0.227574
545.5 1.704564 0.228601
546.0 1.708580 0.229885
546.5 1.712700 0.231543
547.0 1.716926 0.233200
547.5 1.721255 0.234858
548.0 1.725688 0.236516
548.5 1.730224 0.238174
549.0 1.734861 0.239832
549.5 1.739600 0.241489
550.0 1.744439 0.243147
550.5 1.749379 0.244805
551.0 1.754418 0.246463
551.5 1.759555 0.248120
552.0 1.764790 0.249778
552.5 1.770123 0.251436
553.0 1.775553 0.253094
553.5 1.781078 0.254752
554.0 1.786699 0.256409
554.5 1.792414 0.258067
555.0 1.798224 0.259725
555.5 1.804123 0.261383
556.0 1.810108 0.263041
556.5 1.816171 0.264698
557.0 1.822309 0.266356
557.5 1.828515 0.268014
558.0 1.834783 0.269672
558.5 1.841108 0.271329
559.0 1.847485 0.272987
559.5 1.853908 0.274645
560.0 1.860371 0.276303
560.5 1.866869 0.277961
561.0 1.873396 0.279618
561.5 1.879947 0.281049
562.0 1.886516 0.282458
562.5 1.893098 0.283867
563.0 1.899686 0.285276
563.5 1.906276 0.286685
564.0 1.912862 0.288094
564.5 1.919438 0.289503
565.0 1.925999 0.290911
565.5 1.932539 0.292320
566.0 1.939052 0.294195
566.5 1.945534 0.296310
567.0 1.951978 0.298424
567.5 1.958379 0.300539
568.0 1.964731 0.302592
