# ASCII 1D datafile generated by TiberCAD
# 1 x
# 2 GenerationRate
# 3 Intensity
# 4 External_Source_ElectricField
# 5 Transmission
# 6 Reflection
# 7 Absorption
# x GenerationRate Intensity External_Source_ElectricField Transmission Reflection Absorption 
1886.44 1.80842e+20 242.508 91.965 0 0 0 
1891.72 1.80398e+20 242.198 94.6972 0 0 0 
1897.01 1.79955e+20 241.889 96.2025 0 0 0 
1902.29 1.79515e+20 241.583 96.4706 0 0 0 
1907.58 1.79076e+20 241.279 95.5001 0 0 0 
1912.86 1.78639e+20 240.977 93.3 0 0 0 
1918.15 1.78204e+20 240.678 89.8919 0 0 0 
1923.44 1.77771e+20 240.379 85.3127 0 0 0 
1928.73 1.77339e+20 240.083 79.6163 0 0 0 
1934.02 1.76909e+20 239.787 72.8748 0 0 0 
1939.31 1.76481e+20 239.492 65.179 0 0 0 
1944.6 1.76055e+20 239.198 56.6383 0 0 0 
1949.89 1.7563e+20 238.903 47.3791 0 0 0 
1955.19 1.75206e+20 238.608 37.5421 0 0 0 
1960.48 1.74785e+20 238.313 27.2795 0 0 0 
1965.77 1.74364e+20 238.018 16.7505 0 0 0 
1971.07 1.73946e+20 237.722 6.11721 0 0 0 
1976.36 1.73529e+20 237.425 -4.46016 0 0 0 
1981.66 1.73113e+20 237.128 -14.8275 0 0 0 
1986.96 1.72699e+20 236.83 -24.8409 0 0 0 
1992.26 1.72286e+20 236.533 -34.3698 0 0 0 
1997.56 1.71876e+20 236.235 -43.2991 0 0 0 
2002.86 1.71466e+20 235.939 -51.5308 0 0 0 
2008.16 1.71059e+20 235.643 -58.9839 0 0 0 
2013.46 1.70653e+20 235.349 -65.5935 0 0 0 
2018.76 1.70248e+20 235.056 -71.3099 0 0 0 
2024.06 1.69846e+20 234.765 -76.0955 0 0 0 
2029.37 1.69444e+20 234.476 -79.923 0 0 0 
2034.67 1.69045e+20 234.188 -82.7726 0 0 0 
2039.98 1.68647e+20 233.903 -84.6294 0 0 0 
2045.29 1.68251e+20 233.619 -85.4822 0 0 0 
2050.59 1.67856e+20 233.338 -85.3216 0 0 0 
2055.9 1.67463e+20 233.057 -84.14 0 0 0 
2061.21 1.67071e+20 232.778 -81.9322 0 0 0 
2066.52 1.66681e+20 232.5 -78.6964 0 0 0 
2071.83 1.66292e+20 232.223 -74.4362 0 0 0 
2077.14 1.65905e+20 231.946 -69.1633 0 0 0 
2082.45 1.65519e+20 231.669 -62.9001 0 0 0 
2087.77 1.65134e+20 231.391 -55.6827 0 0 0 
2093.08 1.64751e+20 231.114 -47.5635 0 0 0 
2098.39 1.64369e+20 230.836 -38.6133 0 0 0 
2103.71 1.63989e+20 230.558 -28.9229 0 0 0 
2109.02 1.6361e+20 230.279 -18.604 0 0 0 
2114.34 1.63232e+20 229.999 -7.78863 0 0 0 
2119.66 1.62856e+20 229.72 3.37197 0 0 0 
2124.98 1.6248e+20 229.441 14.7096 0 0 0 
2130.3 1.62107e+20 229.162 26.0422 0 0 0 
2135.62 1.61735e+20 228.883 37.1782 0 0 0 
2140.94 1.61364e+20 228.605 47.9208 0 0 0 
2146.26 1.60994e+20 228.329 58.0732 0 0 0 
2151.58 1.60626e+20 228.053 67.444 0 0 0 
2156.9 1.6026e+20 227.78 75.8524 0 0 0 
