# ASCII 1D datafile generated by TiberCAD
# 1 x
# 2 Internal_Source_ElectricField
# 3 Internal_Poynting
# 4 Internal_Power
# 5 Internal_Intensity
# 6 Internal_Absorption
# x Internal_Source_ElectricField Internal_Poynting Internal_Power Internal_Intensity Internal_Absorption 
167 -0.117013 -0.148447 0 0.000196931 0 
168 -0.109498 -0.148447 0 0.000196931 0 
169 -0.10185 -0.148447 0 0.000196931 0 
170 -0.0940802 -0.148447 0 0.000196931 0 
171 -0.0861965 -0.148447 0 0.000196931 0 
172 -0.0782089 -0.148447 0 0.000196931 0 
173 -0.070127 -0.148447 0 0.000196931 0 
174 -0.0619605 -0.148447 0 0.000196931 0 
175 -0.0537193 -0.148447 0 0.000196931 0 
176 -0.0454133 -0.148447 0 0.000196931 0 
177 -0.0370526 -0.148447 0 0.000196931 0 
178 -0.0286472 -0.148447 0 0.000196931 0 
179 -0.0202072 -0.148447 0 0.000196931 0 
180 -0.0117428 -0.148447 0 0.000196931 0 
181 -0.00326433 -0.148447 0 0.000196931 0 
182 0.00521812 -0.148447 0 0.000196931 0 
183 0.0136943 -0.148447 0 0.000196931 0 
184 0.0221539 -0.148447 0 0.000196931 0 
185 0.0305868 -0.148447 0 0.000196931 0 
186 0.0389829 -0.148447 0 0.000196931 0 
187 0.0473319 -0.148447 0 0.000196931 0 
188 0.0556238 -0.148447 0 0.000196931 0 
189 0.0638487 -0.148447 0 0.000196931 0 
190 0.0719966 -0.148447 0 0.000196931 0 
191 0.0800576 -0.148447 0 0.000196931 0 
192 0.0880221 -0.148447 0 0.000196931 0 
193 0.0958805 -0.148447 0 0.000196931 0 
194 0.103623 -0.148447 0 0.000196931 0 
195 0.111241 -0.148447 0 0.000196931 0 
196 0.118725 -0.148447 0 0.000196931 0 
197 0.126065 -0.148447 0 0.000196931 0 
198 0.133253 -0.148447 0 0.000196931 0 
199 0.140281 -0.148447 0 0.000196931 0 
200 0.14714 -0.148447 0 0.000196931 0 
201 0.153821 -0.148447 0 0.000196931 0 
202 0.160316 -0.148447 0 0.000196931 0 
203 0.166619 -0.148447 0 0.000196931 0 
204 0.17272 -0.148447 0 0.000196931 0 
205 0.178613 -0.148447 0 0.000196931 0 
206 0.184291 -0.148447 0 0.000196931 0 
207 0.189746 -0.148447 0 0.000196931 0 
208 0.194973 -0.148447 0 0.000196931 0 
209 0.199964 -0.148447 0 0.000196931 0 
210 0.204714 -0.148447 0 0.000196931 0 
211 0.209218 -0.148447 0 0.000196931 0 
212 0.213469 -0.148447 0 0.000196931 0 
213 0.217462 -0.148447 0 0.000196931 0 
214 0.221194 -0.148447 0 0.000196931 0 
215 0.224659 -0.148447 0 0.000196931 0 
216 0.227852 -0.148447 0 0.000196931 0 
217 0.230771 -0.148447 0 0.000196931 0 
218 0.233412 -0.148447 0 0.000196931 0 
219 0.235771 -0.148447 0 0.000196931 0 
220 0.237846 -0.148447 0 0.000196931 0 
221 0.239634 -0.148447 0 0.000196931 0 
222 0.241133 -0.148447 0 0.000196931 0 
223 0.242341 -0.148447 0 0.000196931 0 
224 0.243257 -0.148447 0 0.000196931 0 
225 0.24388 -0.148447 0 0.000196931 0 
226 0.244209 -0.148447 0 0.000196931 0 
227 0.244243 -0.148447 0 0.000196931 0 
228 0.243982 -0.148447 0 0.000196931 0 
229 0.243427 -0.148447 0 0.000196931 0 
230 0.242579 -0.148447 0 0.000196931 0 
231 0.241438 -0.148447 0 0.000196931 0 
232 0.240006 -0.148447 0 0.000196931 0 
233 0.238285 -0.148447 0 0.000196931 0 
234 0.236276 -0.148447 0 0.000196931 0 
235 0.233982 -0.148447 0 0.000196931 0 
236 0.231406 -0.148447 0 0.000196931 0 
237 0.228552 -0.148447 0 0.000196931 0 
238 0.225421 -0.148447 0 0.000196931 0 
